Index	norge	modell	likestilling	paradoks	myte	voldta
20190113-sjoflypiloter-pa-mal	0	0	0	0	0	0
20190113-solskjar-besto-teste	0	0	0	0	0	0
20190113-solskjar-for-storkam	0	0	0	0	0	0
20190113-syriske-flyktninger-	0	0	0	0	0	1
20190113-tre-av-fire-vil-ha-p	0	0	0	0	0	0
20190113-vintersykling-for-ny	2	0	0	0	0	0
20190113-vnsterpartiet-kan-hi	0	0	0	0	0	0
20190113-wsj-ba-pentagon-vurd	0	0	0	0	0	0
20190114---mann-fikk-500-kron	0	0	0	0	0	0
20190114-16-arig-gutt-forsokt	0	0	0	0	0	0
20190114-arnevag-ble-hedret	1	0	0	0	0	0
20190114-donald-trump-benekte	0	0	0	0	0	0
20190114-egen-gruppe-skal-ett	0	0	0	0	0	0
20190114-elektrikken---en-ny-	0	0	0	0	0	0
20190114-endelig-pa-oya	2	0	0	0	0	0
20190114-frp-topp-hemmelig-vo	0	0	0	0	0	0
20190114-frykter-en-omveltnin	3	0	0	0	0	0
20190114-gisseldrama-i-new-je	0	0	0	0	0	0
20190114-haq-har-tro-pa-nye-m	2	0	0	0	0	0
20190114-herlovsen-ikke-med-t	0	0	0	0	0	0
20190114-kaster-menn-pa-havet	0	0	0	0	0	0
20190114-keeper-christensen--	6	0	0	0	0	0
20190114-kolonnekjoring-og-st	2	0	0	0	0	0
20190114-na-kommer-vintern---	2	0	0	0	0	0
20190114-ny-aleris-eier-far-a	2	0	0	0	0	0
20190114-nye-mangfoldskrav-i-	0	0	0	0	0	0
20190114-politiet-har-fatt-ti	3	0	0	0	0	0
20190114-sagosen-skjot-osterr	9	0	0	0	0	0
20190114-sagosen-tror-presset	2	0	0	0	0	0
20190114-servitor-italo-taper	0	0	0	0	0	0
20190114-setter-klima-pa-time	1	0	0	1	0	0
20190114-siv-jensen-avlyser-p	0	0	0	0	0	0
20190114-stortalent-signerte-	0	0	0	0	0	0
20190114-theresa-may-tror-bre	1	0	0	0	0	0
20190114-tidligere-mc-medlemm	0	0	0	0	0	0
20190114-to-litauiske-menn-do	3	0	0	0	0	0
20190114-to-scoringer-av-zucc	0	0	0	0	0	0
20190114-tre-nokkelspillere-f	0	0	0	0	0	0
20190114-true-detective-3-tun	0	0	0	0	0	0
20190114-uvanlig-torskedod-i-	0	0	0	0	0	0
20190114-vnsterpartiet-stille	0	0	0	0	0	0
20190115---trenger-flere-og-b	0	0	0	0	0	0
20190115-13-ar-gamle-gutter-r	0	0	0	0	0	0
20190115-avlyser-norwegian-wo	0	0	0	0	0	0
20190115-det-vokser-en-frospi	0	0	0	0	0	0
20190115-dramatiske-advarsler	1	0	0	0	0	0
20190115-eksplosjoner-og-skyt	0	0	0	0	0	0
20190115-far-truede-arter-opp	5	0	0	0	0	0
20190115-firma-som-har-drevet	0	0	0	0	0	0
20190115-fn-minst-15-flyktnin	0	0	0	0	0	0
20190115-forsker-norge-er-et-	2	1	0	0	0	0
20190115-har-frigitt-navnet-p	0	0	0	0	0	0
20190115-hoie-vil-kutte-i-ven	1	0	0	1	0	0
20190115-hotell-og-kontorer-u	0	0	0	0	0	0
20190115-jakter-ny-rekord	0	0	0	0	0	0
20190115-la-fem-dogn-pa-sykeh	0	0	0	0	0	0
20190115-mange-antatt-dode-et	0	0	0	0	0	0
20190115-mann-domt-for-hat-og	0	0	0	0	0	0
20190115-mener-bergerud-forts	5	0	0	0	0	0
20190115-mona-juul-pa-plass-i	8	0	0	0	0	0
20190115-norwegian-fly-pa-bak	0	0	0	0	0	0
20190115-ny-karavane-pa-vei-f	0	0	0	0	0	2
20190115-petr-cech-legger-opp	0	0	0	0	0	0
20190115-politiet-siste-livst	1	0	0	0	0	0
20190115-regjeringskaoset-for	0	0	0	0	0	0
20190115-skiskytingen-i-ruhpo	0	0	0	0	0	0
20190115-sparket-uis-professo	0	0	0	0	0	0
20190115-storavis-donald-trum	0	0	0	0	0	0
20190115-tiff-apningsfilm-kom	1	0	0	0	0	0
20190115-to-mal-av-jesus-sikr	0	0	0	0	0	0
20190115-tror-trump-gradvis-v	0	0	0	0	0	0
20190115-trump-diskuterte-fbi	0	0	0	0	0	0
20190115-valerenga-ma-ha-ny-h	0	0	0	0	0	0
20190116---det-skal-sa-drasti	1	0	0	0	0	0
20190116---minst-16-drept-i-a	0	0	0	0	0	0
