Index	norge	modell	likestilling	paradoks	myte	voldta
20190103-vaier-pa-knm-helge-i	0	0	0	0	0	0
20190103-viking-trener-bjarne	0	0	0	0	0	0
20190103-zuccarello-og-ranger	0	0	0	0	0	0
20190104---fotballegenden-mar	0	0	0	0	0	0
20190104-5000-rammet-av-nytt-	0	0	0	0	0	0
20190104-darlig-samarbeid-mel	0	2	0	0	0	0
20190104-dataangrep-rammer-hu	0	0	0	0	0	0
20190104-derfor-valgte-bergen	0	0	0	0	0	0
20190104-er-du-klar-for-en-ve	0	0	0	0	0	0
20190104-erna-solberg-som-fod	3	0	0	0	0	0
20190104-etterforskningsleder	0	0	0	0	0	0
20190104-fem-tenaringer-omkom	0	0	0	0	0	0
20190104-i-bakhodet-ligger-br	0	0	0	0	0	0
20190104-ikke-kast-leietakere	0	0	0	0	0	0
20190104-john-arne-riise-blir	1	0	0	0	0	0
20190104-landets-nest-mest-tr	1	0	0	0	0	0
20190104-leteaksjon-med-dykke	0	0	0	0	0	0
20190104-mener-nff-bor-se-pa-	1	0	0	0	0	0
20190104-noen-av-de-storste-m	0	0	0	0	0	0
20190104-nora-har-tatt-en-jor	0	0	0	0	0	0
20190104-norge-pa-skitur-44-p	8	0	0	2	0	0
20190104-norge-talentet-maler	7	0	0	0	0	0
20190104-norges-eget-vekkerur	3	0	0	0	0	0
20190104-preben-hellvik-26-le	0	0	0	0	0	0
20190104-slik-blir-den-store-	2	0	0	0	0	0
20190104-styrelederen-reagere	1	0	0	0	0	0
20190104-syk-person-i-sverige	0	0	0	0	0	0
20190104-tottenham-laget-hakk	0	0	0	0	0	0
20190104-victoria-18-tok-en-g	0	0	0	0	0	0
20190104-videoen-som-skulle-y	0	0	0	0	0	0
20190105-16-aring-ovelseskjor	0	0	0	0	0	0
20190105-2019too-hvor-langt-m	0	0	0	0	0	0
20190105-apple-krisen-kan-det	0	0	0	0	0	0
20190105-bernhus-uten-de-russ	0	0	0	0	0	0
20190105-birkeland-hvilte-seg	0	0	0	0	0	0
20190105-bjorgen-ble-trippelv	1	0	0	0	0	0
20190105-bussen-tilbake-i-osl	0	0	0	0	0	0
20190105-de-mistet-jobb-og-st	0	0	0	0	0	0
20190105-de-skal-avverge-og-a	0	0	0	0	0	0
20190105-den-svindyre-superdu	0	0	0	0	0	0
20190105-dette-vil-solskjar-f	0	0	0	0	0	0
20190105-eksperter-mener-mobi	0	0	0	0	0	0
20190105-familiene-flyktet-fr	0	0	0	0	0	0
20190105-ferger-og-flyplasser	0	0	0	0	0	0
20190105-frivillige-klare-til	1	0	0	0	0	0
20190105-gasslekkasje-kan-ha-	0	0	0	0	0	0
20190105-gimle-fikk-det-tungt	0	0	0	0	0	0
20190105-gjert-og-jakob-var-s	0	0	0	0	0	0
20190105-han-reddet-tour-de-s	0	0	0	0	0	0
20190105-haugesund-lederen-va	0	0	0	0	0	0
20190105-helene-uri-ah-hva-er	0	0	0	0	0	0
20190105-holund-lo-av-russern	3	0	0	0	0	0
20190105-hoppuke-kvaliken-uts	0	0	0	0	0	0
20190105-idrettsgallaen-direk	2	0	0	0	0	0
20190105-japan-og-russland-ha	0	0	0	0	0	0
20190105-john-roar-48-var-ina	0	0	0	0	0	0
20190105-kanskje-jeg-gar-rett	2	0	0	0	0	0
20190105-kurdisk-leder-avtale	0	0	0	0	0	0
20190105-malm-rystes-av-oppgj	0	0	0	0	0	0
20190105-mann-dode-i-boligbra	0	0	0	0	0	0
20190105-mediesky-treningsnar	0	0	0	0	0	0
20190105-muligheter-for-a-se-	1	0	0	0	0	0
20190105-munchrevyen-2019-lat	0	0	0	0	0	0
20190105-na-far-molde-support	0	0	0	0	0	0
20190105-nissenrevyen-2019-go	0	0	0	0	0	0
20190105-nokkelspiller-skadet	0	0	0	0	0	0
